refArea,Number of cases,disease,refPeriod
Mount Lebanon,2,Mumps,07-2017
Mount Lebanon,3,Mumps,08-2017
Mount Lebanon,3,Mumps,09-2017
Mount Lebanon,4,Mumps,10-2017
Mount Lebanon,3,Mumps,11-2017
Mount Lebanon,3,Mumps,12-2017
Beirut,1,Mumps,01-2018
Beirut,1,Mumps,02-2018
Beirut,1,Mumps,03-2018
Beirut,0,Mumps,04-2018
Beirut,0,Mumps,05-2018
Beirut,1,Mumps,06-2018
Beirut,2,Mumps,07-2018
Beirut,0,Mumps,08-2018
Beirut,1,Mumps,09-2018
Beirut,1,Mumps,10-2018
Beirut,0,Mumps,11-2018
Beirut,0,Mumps,12-2018
Nabatieh Governorate,0,Mumps,01-2018
Nabatieh Governorate,0,Mumps,02-2018
Nabatieh Governorate,2,Mumps,03-2018
Nabatieh Governorate,0,Mumps,04-2018
Nabatieh Governorate,1,Mumps,05-2018
Nabatieh Governorate,0,Mumps,06-2018
Nabatieh Governorate,2,Mumps,07-2018
Nabatieh Governorate,0,Mumps,08-2018
Nabatieh Governorate,2,Mumps,09-2018
Nabatieh Governorate,0,Mumps,10-2018
Nabatieh Governorate,0,Mumps,11-2018
Nabatieh Governorate,0,Mumps,12-2018
North Lebanon,1,Mumps,01-2018
North Lebanon,0,Mumps,02-2018
North Lebanon,1,Mumps,03-2018
North Lebanon,0,Mumps,04-2018
North Lebanon,0,Mumps,05-2018
North Lebanon,2,Mumps,06-2018
North Lebanon,0,Mumps,07-2018
North Lebanon,0,Mumps,08-2018
North Lebanon,0,Mumps,09-2018
North Lebanon,1,Mumps,10-2018
North Lebanon,1,Mumps,11-2018
North Lebanon,0,Mumps,12-2018
South Governorate,5,Mumps,01-2018
South Governorate,2,Mumps,02-2018
South Governorate,2,Mumps,03-2018
South Governorate,1,Mumps,04-2018
South Governorate,1,Mumps,05-2018
South Governorate,0,Mumps,06-2018
South Governorate,0,Mumps,07-2018
South Governorate,1,Mumps,08-2018
South Governorate,2,Mumps,09-2018
South Governorate,4,Mumps,10-2018
South Governorate,1,Mumps,11-2018
South Governorate,1,Mumps,12-2018
Mount Lebanon,3,Mumps,01-2018
Mount Lebanon,2,Mumps,02-2018
Mount Lebanon,3,Mumps,03-2018
Mount Lebanon,2,Mumps,04-2018
Mount Lebanon,7,Mumps,05-2018
Mount Lebanon,1,Mumps,06-2018
Mount Lebanon,5,Mumps,07-2018
Mount Lebanon,0,Mumps,08-2018
Mount Lebanon,4,Mumps,09-2018
Mount Lebanon,9,Mumps,10-2018
Mount Lebanon,6,Mumps,11-2018
Mount Lebanon,0,Mumps,12-2018
Beqaa Valley,3,Mumps,01-2018
Beqaa Valley,4,Mumps,02-2018
Beqaa Valley,4,Mumps,03-2018
Beqaa Valley,3,Mumps,04-2018
Beqaa Valley,1,Mumps,05-2018
Beqaa Valley,1,Mumps,06-2018
Beqaa Valley,9,Mumps,07-2018
Beqaa Valley,2,Mumps,08-2018
Beqaa Valley,1,Mumps,09-2018
Beqaa Valley,3,Mumps,10-2018
Beqaa Valley,0,Mumps,11-2018
Beqaa Valley,0,Mumps,12-2018
